medal_type,name,gender,country_code,nationality,discipline,birth_date,is_medallist
Bronze ,FIELDMAN Henry,Male,GBR,Great Britain,Rowing,1988-11-25,True
Gold ,SMITH Regan,Female,USA,United States,Swimming,2002-02-09,True
Gold ,SWANSON Charlie,Male,USA,United States,Swimming,1998-02-20,True
Gold ,DRESSEL Caeleb,Male,USA,United States,Swimming,1996-08-16,True
Gold ,WEITZEIL Abbey,Female,USA,United States,Swimming,1996-12-03,True
Gold ,FINK Nic,Male,USA,United States,Swimming,1993-07-03,True
Gold ,HUSKE Torri,Female,USA,United States,Swimming,2002-12-07,True
Gold ,MURPHY Ryan,Male,USA,United States,Swimming,1995-07-02,True
Gold ,WALSH Gretchen,Female,USA,United States,Swimming,2003-01-29,True
Silver ,XU Jiayu,Male,CHN,China,Swimming,1995-08-19,True
Silver ,TANG Qianting,Female,CHN,China,Swimming,2004-03-14,True
Silver ,ZHANG Yufei,Female,CHN,China,Swimming,1998-04-19,True
Silver ,PAN Zhanle,Male,CHN,China,Swimming,2004-08-04,True
Silver ,QIN Haiyang,Male,CHN,China,Swimming,1999-05-17,True
Silver ,YANG Junxuan,Female,CHN,China,Swimming,2002-01-26,True
Bronze ,ANDERSON Iona,Female,AUS,Australia,Swimming,2005-10-03,True
Bronze ,STUBBLETY-COOK Zac,Male,AUS,Australia,Swimming,1999-01-04,True
Bronze ,McKEON Emma,Female,AUS,Australia,Swimming,1994-05-24,True
Bronze ,CHALMERS Kyle,Male,AUS,Australia,Swimming,1998-06-25,True
Bronze ,McKEOWN Kaylee,Female,AUS,Australia,Swimming,2001-07-12,True
Bronze ,O'CALLAGHAN Mollie,Female,AUS,Australia,Swimming,2004-04-02,True
Bronze ,TEMPLE Matthew,Male,AUS,Australia,Swimming,1999-06-20,True
Bronze ,YONG Joshua,Male,AUS,Australia,Swimming,2001-07-24,True
Gold ,EBDEN Matthew,Male,AUS,Australia,Tennis,1987-11-26,True
Gold ,PEERS John,Male,AUS,Australia,Tennis,1988-07-25,True
Silver ,KRAJICEK Austin,Male,USA,United States,Tennis,1990-06-16,True
Silver ,RAM Rajeev,Male,USA,United States,Tennis,1984-03-18,True
Bronze ,FRITZ Taylor,Male,USA,United States,Tennis,1997-10-28,True
Bronze ,PAUL Tommy,Male,USA,United States,Tennis,1997-05-17,True
Gold ,LEE Yang,Male,TPE,Chinese Taipei,Badminton,1995-08-12,True
Gold ,WANG Chi-Lin,Male,TPE,Chinese Taipei,Badminton,1995-01-18,True
Silver ,LIANG Wei Keng,Male,CHN,China,Badminton,2000-11-30,True
Silver ,WANG Chang,Male,CHN,China,Badminton,2001-05-07,True
Bronze ,CHIA Aaron,Male,MAS,Malaysia,Badminton,1997-02-24,True
Bronze ,SOH Wooi Yik,Male,MAS,Malaysia,Badminton,1998-02-17,True
Gold ,MATSUYAMA Kyosuke,Male,JPN,Japan,Fencing,1996-12-19,True
Gold ,IIMURA Kazuki,Male,JPN,Japan,Fencing,2003-12-27,True
Gold ,SHIKINE Takahiro,Male,JPN,Japan,Fencing,1997-12-07,True
Gold ,NAGANO Yudai,Male,JPN,Japan,Fencing,1998-10-15,True
Silver ,BIANCHI Guillaume,Male,ITA,Italy,Fencing,1997-07-30,True
Silver ,MACCHI Filippo,Male,ITA,Italy,Fencing,2001-09-19,True
Silver ,MARINI Tommaso,Male,ITA,Italy,Fencing,2000-04-17,True
Silver ,FOCONI Alessio,Male,ITA,Italy,Fencing,1989-11-22,True
Bronze ,LEFORT Enzo,Male,FRA,France,Fencing,1991-09-29,True
Bronze ,PAUTY Maxime,Male,FRA,France,Fencing,1993-06-20,True
Bronze ,MERTINE Julien,Male,FRA,France,Fencing,1988-06-25,True
Bronze ,CHASTANET Maximilien,Male,FRA,France,Fencing,1996-03-15,True
Gold ,XU Jiayu,Male,CHN,China,Swimming,1995-08-19,True
Gold ,QIN Haiyang,Male,CHN,China,Swimming,1999-05-17,True
Gold ,WANG Changhao,Male,CHN,China,Swimming,2002-08-01,True
Gold ,PAN Zhanle,Male,CHN,China,Swimming,2004-08-04,True
Gold ,SUN Jiajun,Male,CHN,China,Swimming,2000-08-01,True
Silver ,ARMSTRONG Hunter,Male,USA,United States,Swimming,2001-01-24,True
Silver ,SWANSON Charlie,Male,USA,United States,Swimming,1998-02-20,True
Silver ,HEILMAN Thomas,Male,USA,United States,Swimming,2007-02-07,True
Silver ,ALEXY Jack,Male,USA,United States,Swimming,2003-01-19,True
Silver ,DRESSEL Caeleb,Male,USA,United States,Swimming,1996-08-16,True
Silver ,FINK Nic,Male,USA,United States,Swimming,1993-07-03,True
Silver ,MURPHY Ryan,Male,USA,United States,Swimming,1995-07-02,True
Bronze ,NDOYE-BROUARD Yohann,Male,FRA,France,Swimming,2000-11-29,True
Bronze ,MARCHAND Leon,Male,FRA,France,Swimming,2002-05-17,True
Bronze ,SECCHI Clement,Male,FRA,France,Swimming,2000-05-04,True
Bronze ,FENTE--DAMERS Rafael,Male,FRA,France,Swimming,2006-10-17,True
Bronze ,GROUSSET Maxime,Male,FRA,France,Swimming,1999-04-24,True
Bronze ,MANAUDOU Florent,Male,FRA,France,Swimming,1990-11-12,True
Gold ,BERKOFF Katharine,Female,USA,United States,Swimming,2001-01-28,True
Gold ,WEBER Emma,Female,USA,United States,Swimming,2004-01-13,True
Gold ,SHACKELL Alex,Female,USA,United States,Swimming,2006-11-13,True
Gold ,DOUGLASS Kate,Female,USA,United States,Swimming,2001-11-17,True
Gold ,HUSKE Torri,Female,USA,United States,Swimming,2002-12-07,True
Gold ,KING Lilly,Female,USA,United States,Swimming,1997-02-10,True
Gold ,SMITH Regan,Female,USA,United States,Swimming,2002-02-09,True
Gold ,WALSH Gretchen,Female,USA,United States,Swimming,2003-01-29,True
Silver ,ANDERSON Iona,Female,AUS,Australia,Swimming,2005-10-03,True
Silver ,RAMSAY Ella,Female,AUS,Australia,Swimming,2004-07-12,True
Silver ,PERKINS Alexandria,Female,AUS,Australia,Swimming,2000-07-27,True
Silver ,HARRIS Meg,Female,AUS,Australia,Swimming,2002-03-07,True
Silver ,McKEON Emma,Female,AUS,Australia,Swimming,1994-05-24,True
Silver ,McKEOWN Kaylee,Female,AUS,Australia,Swimming,2001-07-12,True
Silver ,O'CALLAGHAN Mollie,Female,AUS,Australia,Swimming,2004-04-02,True
Silver ,STRAUCH Jenna,Female,AUS,Australia,Swimming,1997-03-24,True
Bronze ,WANG Xueer,Female,CHN,China,Swimming,1998-01-15,True
Bronze ,TANG Qianting,Female,CHN,China,Swimming,2004-03-14,True
Bronze ,YU Yiting,Female,CHN,China,Swimming,2005-09-05,True
Bronze ,WU Qingfeng,Female,CHN,China,Swimming,2003-01-28,True
Bronze ,WAN Letian,Female,CHN,China,Swimming,2004-08-12,True
Bronze ,YANG Junxuan,Female,CHN,China,Swimming,2002-01-26,True
Bronze ,ZHANG Yufei,Female,CHN,China,Swimming,1998-04-19,True
Gold ,ERRANI Sara,Female,ITA,Italy,Tennis,1987-04-29,True
Gold ,PAOLINI Jasmine,Female,ITA,Italy,Tennis,1996-01-04,True
Silver ,ANDREEVA Mirra,Female,AIN,Russian Federation,Tennis,2007-04-29,True
Silver ,SHNAIDER Diana,Female,AIN,Russian Federation,Tennis,2004-04-02,True
Bronze ,BUCSA Cristina,Female,ESP,Spain,Tennis,1998-01-01,True
Bronze ,SORRIBES TORMO Sara,Female,ESP,Spain,Tennis,1996-10-08,True
Gold ,SLAGTER Arvin,Male,NED,Netherlands,3x3 Basketball,1985-10-19,True
Gold ,de JONG Worthy,Male,NED,Netherlands,3x3 Basketball,1988-03-14,True
Gold ,van der HORST Dimeo,Male,NED,Netherlands,3x3 Basketball,1991-06-23,True
Gold ,DRIESSEN Jan,Male,NED,Netherlands,3x3 Basketball,1996-12-04,True
Silver ,VERGIAT Timothe,Male,FRA,France,3x3 Basketball,1998-03-07,True
Silver ,SEGUELA Franck,Male,FRA,France,3x3 Basketball,1997-05-30,True
Silver ,DUSSOULIER Lucas,Male,FRA,France,3x3 Basketball,1996-07-27,True
Silver ,RAMBAUT Jules,Male,FRA,France,3x3 Basketball,1998-04-06,True
Bronze ,DZIAUGYS Evaldas,Male,LTU,Lithuania,3x3 Basketball,1996-09-26,True
Bronze ,MATULIS Gintautas,Male,LTU,Lithuania,3x3 Basketball,1986-12-06,True
Bronze ,PUKELIS Aurelijus,Male,LTU,Lithuania,3x3 Basketball,1994-05-17,True
Bronze ,VINGELIS Sarunas,Male,LTU,Lithuania,3x3 Basketball,1989-11-16,True
Gold ,BRUNCKHORST Svenja,Female,GER,Germany,3x3 Basketball,1991-10-19,True
Gold ,GREINACHER Sonja,Female,GER,Germany,3x3 Basketball,1992-07-01,True
Gold ,REICHERT Marie,Female,GER,Germany,3x3 Basketball,2001-04-16,True
Gold ,MEVIUS Elisa,Female,GER,Germany,3x3 Basketball,2004-04-23,True
Silver ,ALONSO Gracia,Female,ESP,Spain,3x3 Basketball,1992-08-11,True
Silver ,YGUERAVIDE Sandra,Female,ESP,Spain,3x3 Basketball,1984-12-28,True
Silver ,GIMENO Vega,Female,ESP,Spain,3x3 Basketball,1991-01-08,True
Silver ,CAMILION Juana,Female,ESP,Spain,3x3 Basketball,1999-03-22,True
Bronze ,HAMBY Dearica,Female,USA,United States,3x3 Basketball,1993-11-06,True
Bronze ,BURDICK Cierra,Female,USA,United States,3x3 Basketball,1993-09-30,True
Bronze ,van LITH Hailey,Female,USA,United States,3x3 Basketball,2001-09-09,True
Bronze ,HOWARD Rhyne,Female,USA,United States,3x3 Basketball,2000-04-29,True
Gold ,MARCHANT Katy,Female,GBR,Great Britain,Cycling Track,1993-01-30,True
Gold ,FINUCANE Emma,Female,GBR,Great Britain,Cycling Track,2002-12-22,True
Gold ,CAPEWELL Sophie,Female,GBR,Great Britain,Cycling Track,1998-09-04,True
Gold ,THOMAS Lowri,Female,GBR,Great Britain,Cycling Track,1999-03-03,False
Silver ,ANDREWS Ellesse,Female,NZL,New Zealand,Cycling Track,1999-12-31,True
Silver ,PETCH Rebecca,Female,NZL,New Zealand,Cycling Track,1998-07-09,True
Silver ,FULTON Shaane,Female,NZL,New Zealand,Cycling Track,2000-10-03,True
Silver ,KING Olivia,Female,NZL,New Zealand,Cycling Track,2001-01-25,False
Bronze ,HINZE Emma,Female,GER,Germany,Cycling Track,1997-09-17,True
Bronze ,FRIEDRICH Lea,Female,GER,Germany,Cycling Track,2000-01-07,True
Bronze ,GRABOSCH Pauline,Female,GER,Germany,Cycling Track,1998-01-14,True
Bronze ,PROEPSTER Alessa,Female,GER,Germany,Cycling Track,2001-03-04,False
Gold ,BACOSI Diana,Female,ITA,Italy,Shooting,1983-07-13,True
Gold ,ROSSETTI Gabriele,Male,ITA,Italy,Shooting,1995-03-07,True
Silver ,SMITH Austen Jewell,Female,USA,United States,Shooting,2001-07-23,True
Silver ,HANCOCK Vincent,Male,USA,United States,Shooting,1989-03-19,True
Bronze ,JIANG Yiting,Female,CHN,China,Shooting,2004-08-01,True
Bronze ,LYU Jianlin,Male,CHN,China,Shooting,1996-07-26,True
Gold ,HELLWIG Tim,Male,GER,Germany,Triathlon,1999-06-30,True
Gold ,TERTSCH Lisa,Female,GER,Germany,Triathlon,1998-12-01,True
Gold ,LUEHRS Lasse,Male,GER,Germany,Triathlon,1996-05-16,True
Gold ,LINDEMANN Laura,Female,GER,Germany,Triathlon,1996-06-26,True
Silver ,RIDER Seth,Male,USA,United States,Triathlon,1997-03-06,True
Silver ,SPIVEY Taylor,Female,USA,United States,Triathlon,1991-04-13,True
Silver ,PEARSON Morgan,Male,USA,United States,Triathlon,1993-09-22,True
Silver ,KNIBB Taylor,Female,USA,United States,Triathlon,1998-02-14,True
Bronze ,YEE Alex,Male,GBR,Great Britain,Triathlon,1998-02-18,True
Bronze ,TAYLOR-BROWN Georgia,Female,GBR,Great Britain,Triathlon,1994-03-15,True
Bronze ,DICKINSON Samuel,Male,GBR,Great Britain,Triathlon,1997-07-11,True
Bronze ,POTTER Beth,Female,GBR,Great Britain,Triathlon,1991-12-27,True
Gold ,van den BERG Roy,Male,NED,Netherlands,Cycling Track,1988-09-08,True
Gold ,LAVREYSEN Harrie,Male,NED,Netherlands,Cycling Track,1997-03-14,True
Gold ,HOOGLAND Jeffrey,Male,NED,Netherlands,Cycling Track,1993-03-16,True
Gold ,van LOON Tijmen,Male,NED,Netherlands,Cycling Track,2001-03-20,False
Silver ,CARLIN Jack,Male,GBR,Great Britain,Cycling Track,1997-04-23,True
Silver ,TURNBULL Hamish,Male,GBR,Great Britain,Cycling Track,1999-07-13,True
Silver ,LOWE Ed,Male,GBR,Great Britain,Cycling Track,2003-08-24,True
Silver ,TRUMAN Joseph,Male,GBR,Great Britain,Cycling Track,1997-02-14,False
Bronze ,GLAETZER Matthew,Male,AUS,Australia,Cycling Track,1992-08-24,True
Bronze ,RICHARDSON Matthew,Male,AUS,Australia,Cycling Track,1999-04-17,True
Bronze ,HOFFMAN Leigh,Male,AUS,Australia,Cycling Track,2000-06-11,True
Bronze ,CORNISH Thomas,Male,AUS,Australia,Cycling Track,2000-02-15,False
Gold ,CHANG Hao,Female,CHN,China,Artistic Swimming,1997-04-28,True
Gold ,FENG Yu,Female,CHN,China,Artistic Swimming,1999-09-30,True
Gold ,WANG Qianyi,Female,CHN,China,Artistic Swimming,1997-01-16,True
Gold ,WANG Ciyue,Female,CHN,China,Artistic Swimming,1999-11-14,True
Gold ,WANG Liuyi,Female,CHN,China,Artistic Swimming,1997-01-16,True
Gold ,XIANG Binxuan,Female,CHN,China,Artistic Swimming,2001-11-16,True
Gold ,XIAO Yanning,Female,CHN,China,Artistic Swimming,1998-02-23,True
Gold ,ZHANG Yayi,Female,CHN,China,Artistic Swimming,1997-05-06,True
Gold ,CHENG Wentao,Female,CHN,China,Artistic Swimming,1998-05-18,False
Silver ,ALVAREZ Anita,Female,USA,United States,Artistic Swimming,1996-12-02,True
Silver ,CZARKOWSKI Jaime,Female,USA,United States,Artistic Swimming,2003-12-05,True
Silver ,FIELD Megumi,Female,USA,United States,Artistic Swimming,2005-10-15,True
Silver ,HUNTER Keana,Female,USA,United States,Artistic Swimming,2004-03-04,True
Silver ,KWON Audrey,Female,USA,United States,Artistic Swimming,2006-06-16,True
Silver ,LUU Jacklyn,Female,USA,United States,Artistic Swimming,1999-04-30,True
Silver ,RAMIREZ Daniella,Female,USA,United States,Artistic Swimming,2001-10-06,True
Silver ,REMATI Ruby,Female,USA,United States,Artistic Swimming,2002-08-14,True
Silver ,LIU Calista,Female,USA,United States,Artistic Swimming,2005-12-18,False
Bronze ,TIO CASAS Iris,Female,ESP,Spain,Artistic Swimming,2002-11-02,True
Bronze ,OZHOGINA OZHOGIN Alisa,Female,ESP,Spain,Artistic Swimming,2000-10-31,True
Bronze ,MAS PUJADAS Meritxell,Female,ESP,Spain,Artistic Swimming,1994-12-25,True
Bronze ,TOLEDANO LAUT Blanca,Female,ESP,Spain,Artistic Swimming,2000-11-03,True
Bronze ,RAMIREZ IBANEZ Paula,Female,ESP,Spain,Artistic Swimming,1996-04-23,True
Bronze ,LLUIS VALETTE Lilou,Female,ESP,Spain,Artistic Swimming,2006-07-28,True
Bronze ,GARCIA POLO Marina,Female,ESP,Spain,Artistic Swimming,2004-12-05,True
Bronze ,FERRE GASET Txell,Female,ESP,Spain,Artistic Swimming,2006-11-10,True
Bronze ,SALDANA LOPEZ Sara,Female,ESP,Spain,Artistic Swimming,2000-07-25,False
Gold ,MARTIN Alvaro,Male,ESP,Spain,Athletics,1994-06-18,True
Gold ,PEREZ Maria,Female,ESP,Spain,Athletics,1996-04-29,True
Silver ,PINTADO Brian Daniel,Male,ECU,Ecuador,Athletics,1995-07-29,True
Silver ,MOREJON Glenda,Female,ECU,Ecuador,Athletics,2000-05-30,True
Bronze ,COWLEY Rhydian,Male,AUS,Australia,Athletics,1991-01-04,True
Bronze ,MONTAG Jemima,Female,AUS,Australia,Athletics,1998-02-15,True
Gold ,BLEDDYN Oliver,Male,AUS,Australia,Cycling Track,2002-01-27,True
Gold ,O'BRIEN Kelland,Male,AUS,Australia,Cycling Track,1998-05-22,True
Gold ,WELSFORD Sam,Male,AUS,Australia,Cycling Track,1996-01-19,True
Gold ,LEAHY Conor,Male,AUS,Australia,Cycling Track,1999-04-16,True
Gold ,MORIARTY James,Male,AUS,Australia,Cycling Track,2001-06-07,False
Silver ,VERNON Ethan,Male,GBR,Great Britain,Cycling Track,2000-08-26,True
Silver ,WOOD Oliver,Male,GBR,Great Britain,Cycling Track,1995-11-26,True
Silver ,BIGHAM Daniel,Male,GBR,Great Britain,Cycling Track,1991-10-02,True
Silver ,TANFIELD Charlie,Male,GBR,Great Britain,Cycling Track,1996-11-17,True
Silver ,HAYTER Ethan,Male,GBR,Great Britain,Cycling Track,1998-09-18,True
Silver ,STEWART Mark,Male,GBR,Great Britain,Cycling Track,1995-08-25,False
Bronze ,CONSONNI Simone,Male,ITA,Italy,Cycling Track,1994-09-12,True
Bronze ,GANNA Filippo,Male,ITA,Italy,Cycling Track,1996-07-25,True
Bronze ,LAMON Francesco,Male,ITA,Italy,Cycling Track,1994-02-05,True
Bronze ,MILAN Jonathan,Male,ITA,Italy,Cycling Track,2000-10-01,True
Bronze ,MORO Manlio,Male,ITA,Italy,Cycling Track,2002-03-17,False
Gold ,CUMMINS Olivia,Female,USA,United States,Cycling Track,2003-08-06,False
Gold ,EHRLICH Emily,Female,USA,United States,Cycling Track,1993-12-25,False
Gold ,FAULKNER Kristen,Female,USA,United States,Cycling Track,1992-12-18,True
Gold ,VALENTE Jennifer,Female,USA,United States,Cycling Track,1994-12-24,True
Gold ,WILLIAMS Lily,Female,USA,United States,Cycling Track,1994-06-24,True
Gold ,DYGERT Chloe,Female,USA,United States,Cycling Track,1997-01-01,True
Silver ,BOTHA Bryony,Female,NZL,New Zealand,Cycling Track,1997-11-04,True
Silver ,WOLLASTON Ally,Female,NZL,New Zealand,Cycling Track,2001-01-04,True
Silver ,SHEARMAN Emily,Female,NZL,New Zealand,Cycling Track,1999-02-23,False
Silver ,SHIELDS Nicole,Female,NZL,New Zealand,Cycling Track,1999-09-09,True
Silver ,DONNELLY Samantha,Female,NZL,New Zealand,Cycling Track,2001-12-13,True
Bronze ,EVANS Neah,Female,GBR,Great Britain,Cycling Track,1990-08-01,False
Bronze ,BARKER Elinor,Female,GBR,Great Britain,Cycling Track,1994-09-07,True
Bronze ,KNIGHT Josie,Female,GBR,Great Britain,Cycling Track,1997-03-29,True
Bronze ,MORRIS Anna,Female,GBR,Great Britain,Cycling Track,1995-06-13,True
Bronze ,ROBERTS Jessica,Female,GBR,Great Britain,Cycling Track,1999-04-11,True
Bronze ,BARKER Megan,Female,GBR,Great Britain,Cycling Track,1997-08-15,False
Gold ,LIU Hao,Male,CHN,China,Canoe Sprint,1993-09-06,True
Gold ,JI Bowen,Male,CHN,China,Canoe Sprint,2002-02-22,True
Silver ,CASADEI Gabriele,Male,ITA,Italy,Canoe Sprint,2002-08-10,True
Silver ,TACCHINI Carlo,Male,ITA,Italy,Canoe Sprint,1995-01-25,True
Bronze ,MORENO Joan Antoni,Male,ESP,Spain,Canoe Sprint,2000-04-04,True
Bronze ,DOMINGUEZ Diego,Male,ESP,Spain,Canoe Sprint,2003-05-04,True
Gold ,RENDSCHMIDT Max,Male,GER,Germany,Canoe Sprint,1993-12-12,True
Gold ,LEMKE Max,Male,GER,Germany,Canoe Sprint,1996-12-02,True
Gold ,SCHOPF Jacob,Male,GER,Germany,Canoe Sprint,1999-06-08,True
Gold ,LIEBSCHER-LUCZ Tom,Male,GER,Germany,Canoe Sprint,1993-08-03,True
Silver ,FITZSIMMONS Riley,Male,AUS,Australia,Canoe Sprint,1996-07-27,True
Silver ,van der WESTHUYZEN Pierre,Male,AUS,Australia,Canoe Sprint,2003-08-18,True
Silver ,COLLINS Jackson,Male,AUS,Australia,Canoe Sprint,1998-11-05,True
Silver ,HAVARD Noah,Male,AUS,Australia,Canoe Sprint,2000-10-11,True
Bronze ,CRAVIOTTO Saul,Male,ESP,Spain,Canoe Sprint,1984-11-03,True
Bronze ,AREVALO Carlos,Male,ESP,Spain,Canoe Sprint,1993-12-06,True
Bronze ,COOPER Marcus,Male,ESP,Spain,Canoe Sprint,1994-10-03,True
Bronze ,GERMADE Rodrigo,Male,ESP,Spain,Canoe Sprint,1990-08-23,True
Gold ,CARRINGTON Lisa,Female,NZL,New Zealand,Canoe Sprint,1989-06-23,True
Gold ,HOSKIN Alicia,Female,NZL,New Zealand,Canoe Sprint,2000-02-06,True
Gold ,BRETT Olivia,Female,NZL,New Zealand,Canoe Sprint,2001-06-18,True
Gold ,VAUGHAN Tara,Female,NZL,New Zealand,Canoe Sprint,2003-12-28,True
Silver ,PASZEK Paulina,Female,GER,Germany,Canoe Sprint,1997-10-26,True
Silver ,HAKE Jule Marie,Female,GER,Germany,Canoe Sprint,1999-09-24,True
Silver ,JAGSCH Pauline,Female,GER,Germany,Canoe Sprint,2003-03-13,True
Silver ,BRUESSLER Sarah,Female,GER,Germany,Canoe Sprint,1994-04-08,True
Bronze ,PUPP Noemi,Female,HUN,Hungary,Canoe Sprint,1998-07-28,True
Bronze ,FOJT Sara,Female,HUN,Hungary,Canoe Sprint,2003-12-03,True
Bronze ,CSIPES Tamara,Female,HUN,Hungary,Canoe Sprint,1989-08-24,True
Bronze ,GAZSO Alida Dora,Female,HUN,Hungary,Canoe Sprint,2000-04-18,True
Bronze ,EL KAJOUI Munir,Male,MAR,Morocco,Football,1989-05-10,True
Bronze ,HAKIMI Achraf,Male,MAR,Morocco,Football,1998-11-04,True
Bronze ,NAKACH Akram,Male,MAR,Morocco,Football,2002-04-07,True
Bronze ,BOUKAMIR Mehdi,Male,MAR,Morocco,Football,2004-01-26,True
Bronze ,TAHIF Adil,Male,MAR,Morocco,Football,2001-02-24,True
Bronze ,BOUCHOUARI Benjamin,Male,MAR,Morocco,Football,2001-11-13,True
Bronze ,BEN SEGHIR Eliesse,Male,MAR,Morocco,Football,2005-02-16,True
Bronze ,EL KHANNOUSS Bilal,Male,MAR,Morocco,Football,2004-05-10,True
Bronze ,RAHIMI Soufiane,Male,MAR,Morocco,Football,1996-06-02,True
Bronze ,AKHOMACH Ilias,Male,MAR,Morocco,Football,2004-04-16,True
Bronze ,EL OUAHDI Zakaria,Male,MAR,Morocco,Football,2001-12-31,True
Bronze ,GHANIMI Rachid,Male,MAR,Morocco,Football,2001-04-25,True
Bronze ,KECHTA Yassine,Male,MAR,Morocco,Football,2002-02-25,True
Bronze ,TARGHALLINE Oussama,Male,MAR,Morocco,Football,2002-05-20,True
Bronze ,MAOUHOUB Mehdi,Male,MAR,Morocco,Football,2003-06-05,True
Bronze ,EZZALZOULI Abde,Male,MAR,Morocco,Football,2001-12-17,True
Bronze ,EL AZZOUZI Oussama,Male,MAR,Morocco,Football,2001-05-29,True
Bronze ,RICHARDSON Amir,Male,MAR,Morocco,Football,2002-01-24,True
Bronze ,MANAOUT Haytam,Male,MAR,Morocco,Football,2001-04-18,True
Gold ,JANSSEN Ji,Male,NED,Netherlands,Hockey,1997-10-14,True
Gold ,BALK Lars,Male,NED,Netherlands,Hockey,1996-02-26,True
Gold ,de GEUS Jonas,Male,NED,Netherlands,Hockey,1998-04-29,True
Gold ,van DAM Thijs,Male,NED,Netherlands,Hockey,1997-01-05,True
Gold ,BRINKMAN Thierry,Male,NED,Netherlands,Hockey,1995-03-19,True
Gold ,van ASS Seve,Male,NED,Netherlands,Hockey,1992-04-10,True
Gold ,CROON Jorrit Jan Willem,Male,NED,Netherlands,Hockey,1998-08-09,True
Gold ,BLOK Justen,Male,NED,Netherlands,Hockey,2000-09-27,True
Gold ,de VILDER Derck,Male,NED,Netherlands,Hockey,1998-11-23,True
Gold ,WORTELBOER Floris,Male,NED,Netherlands,Hockey,1996-08-04,True
Gold ,HOEDEMAKERS Tje,Male,NED,Netherlands,Hockey,1999-10-14,True
Gold ,BIJEN Koen,Male,NED,Netherlands,Hockey,1998-07-27,True
Gold ,de MOL Joe,Male,NED,Netherlands,Hockey,1995-12-10,True
Gold ,van HEIJNINGEN Steijn,Male,NED,Netherlands,Hockey,1997-01-28,True
Gold ,BLAAK Pirmin,Male,NED,Netherlands,Hockey,1988-03-08,True
Gold ,REYENGA Tijmen,Male,NED,Netherlands,Hockey,1999-10-10,True
Gold ,TELGENKAMP Duco,Male,NED,Netherlands,Hockey,2002-07-17,True
Gold ,MIDDENDORP Floris,Male,NED,Netherlands,Hockey,2001-06-04,True
Silver ,MUELLER Mathias,Male,GER,Germany,Hockey,1992-04-03,True
Silver ,GRAMBUSCH Mats,Male,GER,Germany,Hockey,1992-11-04,True
Silver ,WINDFEDER Lukas,Male,GER,Germany,Hockey,1995-05-11,True
Silver ,WELLEN Niklas,Male,GER,Germany,Hockey,1994-12-14,True
Silver ,GROSSE Johannes,Male,GER,Germany,Hockey,1997-01-07,True
Silver ,PRINZ Thies,Male,GER,Germany,Hockey,1998-07-07,True
Silver ,KAUFMANN Paul-Phili,Male,GER,Germany,Hockey,1996-06-21,True
Silver ,HINRICHS Teo,Male,GER,Germany,Hockey,1999-09-17,True
Silver ,GRAMBUSCH Tom,Male,GER,Germany,Hockey,1995-08-04,True
Silver ,PEILLAT Gonzalo,Male,GER,Germany,Hockey,1992-08-12,True
Silver ,RUEHR Christopher,Male,GER,Germany,Hockey,1993-12-19,True
Silver ,WEIGAND Justus,Male,GER,Germany,Hockey,2000-04-20,True
Silver ,MILTKAU Marco,Male,GER,Germany,Hockey,1990-08-18,True
Silver ,ZWICKER Martin,Male,GER,Germany,Hockey,1987-02-27,True
Silver ,MUELLER Hannes,Male,GER,Germany,Hockey,2000-05-18,True
Silver ,HELLWIG Malte,Male,GER,Germany,Hockey,1997-10-23,True
Silver ,LUDWIG Moritz,Male,GER,Germany,Hockey,2001-09-14,True
Silver ,DANNEBERG Jean-Paul,Male,GER,Germany,Hockey,2002-11-08,True
Bronze ,SINGH Jarmanpreet,Male,IND,India,Hockey,1996-07-18,True
Bronze ,ABHISHEK Abhishek,Male,IND,India,Hockey,1999-08-15,True
Bronze ,SINGH Manpreet,Male,IND,India,Hockey,1992-06-26,True
Bronze ,SINGH Hardik,Male,IND,India,Hockey,1998-09-23,True
Bronze ,SINGH Gurjant,Male,IND,India,Hockey,1995-01-26,True
Bronze ,SANJAY Sanjay,Male,IND,India,Hockey,2001-05-05,True
Bronze ,SINGH Mandee,Male,IND,India,Hockey,1995-01-25,True
Bronze ,SINGH Harmanpreet,Male,IND,India,Hockey,1996-01-06,True
Bronze ,UPADHYAY Lalit Kumar,Male,IND,India,Hockey,1993-12-01,True
Bronze ,PARATTU RAVEENDRAN Sreejesh,Male,IND,India,Hockey,1988-05-08,True
Bronze ,SUMIT Sumit,Male,IND,India,Hockey,1996-12-20,True
Bronze ,SINGH Shamsher,Male,IND,India,Hockey,1997-07-29,True
Bronze ,PAL Raj Kumar,Male,IND,India,Hockey,1998-05-01,True
Bronze ,ROHIDAS Amit,Male,IND,India,Hockey,1993-05-10,True
Bronze ,PRASAD Vivek Sagar,Male,IND,India,Hockey,2000-02-25,True
Bronze ,SINGH Sukhjeet,Male,IND,India,Hockey,1996-12-05,True
Gold ,VADLAU Lara,Female,AUT,Austria,Sailing,1994-03-29,True
Gold ,MAEHR Lukas,Male,AUT,Austria,Sailing,1990-04-23,True
Silver ,OKADA Keiju,Male,JPN,Japan,Sailing,1995-12-02,True
Silver ,YOSHIOKA Miho,Female,JPN,Japan,Sailing,1990-08-27,True
Bronze ,DAHLBERG Anton,Male,SWE,Sweden,Sailing,1985-05-10,True
Bronze ,KARLSSON Lovisa,Female,SWE,Sweden,Sailing,1995-05-24,True
